property,propertyLabel
http://www.wikidata.org/entity/P6,head of government
http://www.wikidata.org/entity/P10,video
http://www.wikidata.org/entity/P14,graphic symbol of thoroughfare
http://www.wikidata.org/entity/P15,route map
http://www.wikidata.org/entity/P16,highway system
http://www.wikidata.org/entity/P17,country
http://www.wikidata.org/entity/P18,image
http://www.wikidata.org/entity/P19,place of birth
http://www.wikidata.org/entity/P20,place of death
http://www.wikidata.org/entity/P21,sex or gender
http://www.wikidata.org/entity/P22,father
http://www.wikidata.org/entity/P25,mother
http://www.wikidata.org/entity/P26,spouse
http://www.wikidata.org/entity/P27,country of citizenship
http://www.wikidata.org/entity/P30,continent
http://www.wikidata.org/entity/P31,instance of
http://www.wikidata.org/entity/P35,head of state
http://www.wikidata.org/entity/P36,capital
http://www.wikidata.org/entity/P37,official language
http://www.wikidata.org/entity/P38,currency
http://www.wikidata.org/entity/P39,position held
http://www.wikidata.org/entity/P40,child
http://www.wikidata.org/entity/P41,flag image
http://www.wikidata.org/entity/P47,shares border with
http://www.wikidata.org/entity/P50,author
http://www.wikidata.org/entity/P51,audio
http://www.wikidata.org/entity/P53,noble family
http://www.wikidata.org/entity/P54,member of sports team
http://www.wikidata.org/entity/P57,director
http://www.wikidata.org/entity/P58,screenwriter
http://www.wikidata.org/entity/P59,constellation
http://www.wikidata.org/entity/P61,discoverer or inventor
http://www.wikidata.org/entity/P65,site of astronomical discovery
http://www.wikidata.org/entity/P66,ancestral home
http://www.wikidata.org/entity/P69,educated at
http://www.wikidata.org/entity/P78,top-level internet domain
http://www.wikidata.org/entity/P81,connecting line
http://www.wikidata.org/entity/P84,architect
http://www.wikidata.org/entity/P85,anthem
http://www.wikidata.org/entity/P86,composer
http://www.wikidata.org/entity/P87,librettist
http://www.wikidata.org/entity/P88,commissioned by
http://www.wikidata.org/entity/P91,sexual orientation
http://www.wikidata.org/entity/P92,main regulatory text
http://www.wikidata.org/entity/P94,coat of arms image
http://www.wikidata.org/entity/P97,noble title
http://www.wikidata.org/entity/P98,editor
http://www.wikidata.org/entity/P101,field of work
http://www.wikidata.org/entity/P102,member of political party
http://www.wikidata.org/entity/P103,native language
http://www.wikidata.org/entity/P105,taxon rank
http://www.wikidata.org/entity/P106,occupation
http://www.wikidata.org/entity/P108,employer
http://www.wikidata.org/entity/P109,signature
http://www.wikidata.org/entity/P110,illustrator
http://www.wikidata.org/entity/P111,measured physical quantity
http://www.wikidata.org/entity/P112,founded by
http://www.wikidata.org/entity/P113,airline hub
http://www.wikidata.org/entity/P114,airline alliance
http://www.wikidata.org/entity/P115,home venue
http://www.wikidata.org/entity/P117,chemical structure
http://www.wikidata.org/entity/P118,league
http://www.wikidata.org/entity/P119,place of interment
http://www.wikidata.org/entity/P121,item operated
http://www.wikidata.org/entity/P122,basic form of government
http://www.wikidata.org/entity/P123,publisher
http://www.wikidata.org/entity/P126,maintained by
http://www.wikidata.org/entity/P127,owned by
http://www.wikidata.org/entity/P128,regulates (molecular biology)
http://www.wikidata.org/entity/P129,physically interacts with
http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://www.wikidata.org/entity/P134,has dialect
http://www.wikidata.org/entity/P135,movement
http://www.wikidata.org/entity/P136,genre
http://www.wikidata.org/entity/P137,operator
http://www.wikidata.org/entity/P138,named after
http://www.wikidata.org/entity/P140,religion
http://www.wikidata.org/entity/P141,IUCN conservation status
http://www.wikidata.org/entity/P143,imported from
http://www.wikidata.org/entity/P144,based on
http://www.wikidata.org/entity/P149,architectural style
http://www.wikidata.org/entity/P150,contains administrative territorial entity
http://www.wikidata.org/entity/P154,logo image
http://www.wikidata.org/entity/P155,follows
http://www.wikidata.org/entity/P156,followed by
http://www.wikidata.org/entity/P157,killed by
http://www.wikidata.org/entity/P158,seal image
http://www.wikidata.org/entity/P159,headquarters location
http://www.wikidata.org/entity/P161,cast member
http://www.wikidata.org/entity/P162,producer
http://www.wikidata.org/entity/P163,flag
http://www.wikidata.org/entity/P166,award received
http://www.wikidata.org/entity/P167,structure replaced by
http://www.wikidata.org/entity/P169,chief executive officer
http://www.wikidata.org/entity/P170,creator
http://www.wikidata.org/entity/P171,parent taxon
http://www.wikidata.org/entity/P172,ethnic group
http://www.wikidata.org/entity/P175,performer
http://www.wikidata.org/entity/P176,manufacturer
http://www.wikidata.org/entity/P177,crosses
http://www.wikidata.org/entity/P178,developer
http://www.wikidata.org/entity/P179,series
http://www.wikidata.org/entity/P180,depicts
http://www.wikidata.org/entity/P181,taxon range map image
http://www.wikidata.org/entity/P183,endemic to
http://www.wikidata.org/entity/P184,doctoral advisor
http://www.wikidata.org/entity/P185,doctoral student
http://www.wikidata.org/entity/P186,material used
http://www.wikidata.org/entity/P189,location of discovery
http://www.wikidata.org/entity/P190,sister city
http://www.wikidata.org/entity/P193,main building contractor
http://www.wikidata.org/entity/P194,legislative body
http://www.wikidata.org/entity/P195,collection
http://www.wikidata.org/entity/P196,minor planet group
http://www.wikidata.org/entity/P197,adjacent station
http://www.wikidata.org/entity/P199,business division
http://www.wikidata.org/entity/P200,lake inflows
http://www.wikidata.org/entity/P201,lake outflow
http://www.wikidata.org/entity/P205,basin country
http://www.wikidata.org/entity/P206,located next to body of water
http://www.wikidata.org/entity/P207,bathymetry image
http://www.wikidata.org/entity/P208,executive body
http://www.wikidata.org/entity/P209,highest judicial authority
http://www.wikidata.org/entity/P210,party chief representative
http://www.wikidata.org/entity/P212,ISBN-13
http://www.wikidata.org/entity/P213,ISNI
http://www.wikidata.org/entity/P214,VIAF ID
http://www.wikidata.org/entity/P215,spectral class
http://www.wikidata.org/entity/P217,inventory number
http://www.wikidata.org/entity/P218,ISO 639-1 code
http://www.wikidata.org/entity/P219,ISO 639-2 code
http://www.wikidata.org/entity/P220,ISO 639-3 code
http://www.wikidata.org/entity/P221,ISO 639-6 code
http://www.wikidata.org/entity/P223,galaxy morphological type
http://www.wikidata.org/entity/P225,taxon name
http://www.wikidata.org/entity/P227,GND ID
http://www.wikidata.org/entity/P229,IATA airline designator
http://www.wikidata.org/entity/P230,ICAO airline designator
http://www.wikidata.org/entity/P231,CAS Registry Number
http://www.wikidata.org/entity/P232,EC no.
http://www.wikidata.org/entity/P233,canonical SMILES
http://www.wikidata.org/entity/P234,InChI
http://www.wikidata.org/entity/P235,InChIKey
http://www.wikidata.org/entity/P236,ISSN
http://www.wikidata.org/entity/P237,coat of arms
http://www.wikidata.org/entity/P238,IATA airport code
http://www.wikidata.org/entity/P239,ICAO airport code
http://www.wikidata.org/entity/P240,FAA airport code
http://www.wikidata.org/entity/P241,military branch
http://www.wikidata.org/entity/P242,locator map image
http://www.wikidata.org/entity/P243,OCLC control number
http://www.wikidata.org/entity/P244,Library of Congress authority identifier
http://www.wikidata.org/entity/P245,ULAN ID
http://www.wikidata.org/entity/P246,element symbol
http://www.wikidata.org/entity/P247,COSPAR ID
http://www.wikidata.org/entity/P248,stated in
http://www.wikidata.org/entity/P249,ticker symbol
http://www.wikidata.org/entity/P263,official residence
http://www.wikidata.org/entity/P264,record label
http://www.wikidata.org/entity/P267,ATC code
http://www.wikidata.org/entity/P268,BnF ID
http://www.wikidata.org/entity/P269,SUDOC authorities
http://www.wikidata.org/entity/P270,CALIS ID
http://www.wikidata.org/entity/P271,CiNii author ID
http://www.wikidata.org/entity/P272,production company
http://www.wikidata.org/entity/P274,chemical formula
http://www.wikidata.org/entity/P275,license
http://www.wikidata.org/entity/P276,location
http://www.wikidata.org/entity/P277,programming language
http://www.wikidata.org/entity/P278,GOST 7.75-97 code
http://www.wikidata.org/entity/P279,subclass of
http://www.wikidata.org/entity/P281,postal code
http://www.wikidata.org/entity/P282,writing system
http://www.wikidata.org/entity/P286,head coach
http://www.wikidata.org/entity/P287,designed by
http://www.wikidata.org/entity/P289,vessel class
http://www.wikidata.org/entity/P291,place of publication
http://www.wikidata.org/entity/P296,station code
http://www.wikidata.org/entity/P297,ISO 3166-1 alpha-2 code
http://www.wikidata.org/entity/P298,ISO 3166-1 alpha-3 code
http://www.wikidata.org/entity/P299,ISO 3166-1 numeric code
http://www.wikidata.org/entity/P300,ISO 3166-2 code
http://www.wikidata.org/entity/P301,category's main topic
http://www.wikidata.org/entity/P303,EE breed number
http://www.wikidata.org/entity/P304,page(s)
http://www.wikidata.org/entity/P305,IETF language tag
http://www.wikidata.org/entity/P306,operating system
http://www.wikidata.org/entity/P344,director of photography
http://www.wikidata.org/entity/P345,IMDb ID
http://www.wikidata.org/entity/P347,Joconde ID
http://www.wikidata.org/entity/P348,software version
http://www.wikidata.org/entity/P349,NDL Auth ID
http://www.wikidata.org/entity/P350,RKDimages
http://www.wikidata.org/entity/P351,Entrez Gene ID
http://www.wikidata.org/entity/P352,UniProt ID
http://www.wikidata.org/entity/P353,HGNC gene symbol
http://www.wikidata.org/entity/P354,HGNC ID
http://www.wikidata.org/entity/P355,subsidiary
http://www.wikidata.org/entity/P356,DOI
http://www.wikidata.org/entity/P358,discography
http://www.wikidata.org/entity/P359,Rijksmonument ID
http://www.wikidata.org/entity/P360,is a list of
http://www.wikidata.org/entity/P361,part of
http://www.wikidata.org/entity/P364,original language of work
http://www.wikidata.org/entity/P366,use
http://www.wikidata.org/entity/P367,astronomic symbol image
http://www.wikidata.org/entity/P368,Sandbox-CommonsMediaFile
http://www.wikidata.org/entity/P369,Sandbox-Item
http://www.wikidata.org/entity/P370,Sandbox-String
http://www.wikidata.org/entity/P371,presenter
http://www.wikidata.org/entity/P373,Commons category
